General Order number,accredited to,awarded.date.day,awarded.date.month,awarded.date.year,birth.date.day,birth.date.month,birth.date.year,citation,company,death,division,entered service at,full,issued,latitude,link,location name,location.name,longitude,name,organization,rank
48,,-1,-1,-1,23,8,1923,"Serving as 57-mm. antitank gunner with the 2d Battalion, he was a major factor in stopping enemy tanks during heavy attacks against the battalion position near Dom Butgenbach, Belgium, on 20-21 December 1944. In the first attack, launched in the early morning of the 20th, enemy tanks succeeded in penetrating parts of the line. Cpl. Warner, disregarding the concentrated cannon and machinegun fire from 2 tanks bearing down on him, and ignoring the imminent danger of being overrun by the infantry moving under tank cover, destroyed the first tank and scored a direct and deadly hit upon the second. A third tank approached to within 5 yards of his position while he was attempting to clear a jammed breach lock. Jumping from his gun pit, he engaged in a pistol duel with the tank commander standing in the turret, killing him and forcing the tank to withdraw. Following a day and night during which our forces were subjected to constant shelling, mortar barrages, and numerous unsuccessful infantry attacks, the enemy struck in great force on the early morning of the 21st. Seeing a Mark IV tank looming out of the mist and heading toward his position, Cpl. Warner scored a direct hit. Disregarding his injuries, he endeavored to finish the loading and again fire at the tank whose motor was now aflame, when a second machinegun burst killed him. Cpl. Warner's gallantry and intrepidity at the risk of life above and beyond the call of duty contributed materially to the successful defense against the enemy attacks.","Antitank Company, 2d Battalion",True,"26th Infantry, 1st Infantry Division","Troy, N.C.",-1--1--1,06/23/1945,50,http://www.cmohs.org/recipient-detail/3051/warner-henry-f.php," Troy, N.C.","B?tgenbach, Belgium",6,"Warner, Henry F.",U.S. Army,Corporal
55,"Bremerton, WA",20,8,1944,-1,-1,-1,"He manned a light machinegun on 20 August 1944, near Chambois, France, a key point in the encirclement which created the Falaise Pocket. During an enemy counterattack, his position was menaced by a strong force of tanks and infantry. His fire forced the infantry to withdraw, but an artillery shell knocked out his gun and wounded him in the right thigh. Securing a bazooka, he and another man stalked the tanks and forced them to retire to a wooded section. In the lull which followed, Sgt. Hawk reorganized 2 machinegun squads and, in the face of intense enemy fire, directed the assembly of 1 workable weapon from 2 damaged guns. When another enemy assault developed, he was forced to pull back from the pressure of spearheading armor. Two of our tank destroyers were brought up. Their shots were ineffective because of the terrain until Sgt. Hawk, despite his wound, boldly climbed to an exposed position on a knoll where, unmoved by fusillades from the enemy, he became a human aiming stake for the destroyers. Realizing that his shouted fire directions could not be heard above the noise of battle, he ran back to the destroyers through a concentration of bullets and shrapnel to correct the range. He returned to his exposed position, repeating this performance until 2 of the tanks were knocked out and a third driven off. Still at great risk, he continued to direct the destroyers' fire into the Germans' wooded position until the enemy came out and surrendered. Sgt. Hawk's fearless initiative and heroic conduct, even while suffering from a painful wound, was in large measure responsible for crushing 2 desperate attempts of the enemy to escape from the Falaise Pocket and for taking more than 500 prisoners.",Company E,False,"359th Infantry, 90th Infantry Division","Bremerton, Wash.",1944-8-20,06/24/1945,48,http://www.cmohs.org/recipient-detail/2783/hawk-john-d.php,"May 30, 1924, San Francisco, Calif.","61160 Chambois, France",0,"Hawk, John D.",U.S. Army,Sergeant
60,,19,6,1945,-1,-1,-1,"He displayed conspicuous gallantry and intrepidity above and beyond the call of duty. In the heat of the fight, he mounted an assault tank, and, with bullets splattering about him, designated targets to the gunner. Seeing an enemy soldier carrying an explosive charge dash for the tank treads, he shouted fire orders to the gunner, leaped from the tank, and bayoneted the charging soldier. Knocked unconscious and his rifle destroyed, he regained consciousness, secured a machinegun from the tank, and began a furious 1-man assault on the enemy. Firing from his hip, moving through vicious crossfire that ripped through his clothing, he charged the nearest pillbox, killing 6. Going on amid the hail of bullets and grenades, he dashed for a second enemy gun, running out of ammunition just as he reached the position. He grasped his empty gun by the barrel and in a violent onslaught killed the crew. By his fearless assaults T/Sgt. Meagher single-handedly broke the enemy resistance, enabling his platoon to take its objective and continue the advance.",Company E,True,"305th Infantry, 77th Infantry Division","Jersey City, N.J.",1945-6-19,06/26/1946,26,http://www.cmohs.org/recipient-detail/2885/meagher-john.php,"Jersey City, N.J.","Ozato, Nanjo, Okinawa Prefecture, Japan",127,"Meagher, John",U.S. Army,Technical Sergeant
60,,28,4,1945,-1,-1,-1,"When his unit was stopped by a skillfully camouflaged enemy pillbox, he displayed conspicuous gallantry and intrepidity above and beyond the call of duty. His squad, suddenly brought under a hail of machinegun fire and a vicious grenade attack, was pinned down. Jumping to his feet, Pfc. Ruiz seized an automatic rifle and lunged through the flying grenades and rifle and automatic fire for the top of the emplacement. When an enemy soldier charged him, his rifle jammed. Undaunted, Pfc. Ruiz whirled on his assailant and clubbed him down. Then he ran back through bullets and grenades, seized more ammunition and another automatic rifle, and again made for the pillbox. Enemy fire now was concentrated on him, but he charged on, miraculously reaching the position, and in plain view he climbed to the top. Leaping from 1 opening to another, he sent burst after burst into the pillbox, killing 12 of the enemy and completely destroying the position. Pfc. Ruiz's heroic conduct, in the face of overwhelming odds, saved the lives of many comrades and eliminated an obstacle that long would have checked his unit's advance.",,False,"165th Infantry, 27th Infantry Division","Carlsbad, N. Mex.",1945-4-28,06/26/1946,26,http://www.cmohs.org/recipient-detail/2978/ruiz-alejandro-r-renteria.php,"Loving, N. Mex.","Okinawa Prefecture, Japan",127,"Ruiz, Alejandro R. Renteria",U.S. Army,Private First Class
60,,15,12,1944,-1,-1,-1,"He displayed conspicuous gallantry and intrepidity above and beyond the call of duty when an American roadblock on the Ormoc Road was attacked by a group of enemy tanks. He left his covered position, and with a rocket launcher and 6 rounds of ammunition, advanced alone under intense machinegun and 37-mm. fire. Loading single-handedly, he destroyed the first tank, killing its occupants with a single round. As the crew of the second tank started to dismount and attack him, he killed 1 of the foe with his pistol, forcing the survivors to return to their vehicle, which he then destroyed with a second round. Three more hostile tanks moved up the road, so he flanked the first and eliminated it, and then, despite a hail of enemy fire, pressed forward again to destroy another. With his last round of ammunition he struck the remaining vehicle, causing it to crash down a steep embankment. Through his sustained heroism in the face of superior forces, Pfc. Vlug alone destroyed 5 enemy tanks and greatly facilitated successful accomplishment of his battalion's mission.",,True,"126th Infantry, 32d Infantry Division","Grand Rapids, Mich.",1944-12-15,06/26/1946,13,http://www.cmohs.org/recipient-detail/3040/vlug-dirk-j.php,"Maple Lake, Minn.","Philippine Islands, Philippines",122,"Vlug, Dirk J.",U.S. Army,Private First Class
63,,13,4,1945,-1,-1,-1,"He displayed conspicuous gallantry and intrepidity above and beyond the call of duty. When a powerfully conducted predawn Japanese counterattack struck his unit's flank, he ordered his men to take cover in an old tomb, and then, armed only with a carbine, faced the onslaught alone. After emptying 1 magazine at pointblank range into the screaming attackers, he seized an enemy mortar dud and threw it back among the charging Japs, killing several as it burst. Securing a box of mortar shells, he extracted the safety pins, banged the bases upon a rock to arm them and proceeded alternately to hurl shells and fire his piece among the fanatical foe, finally forcing them to withdraw. Despite the protests of his comrades, and bleeding profusely from a severe shrapnel wound, he made his way to his company commander to report the action. T/Sgt. Anderson's intrepid conduct in the face of overwhelming odds accounted for 25 enemy killed and several machineguns and knee mortars destroyed, thus single-handedly removing a serious threat to the company's flank.",,True,"381st Infantry, 96th Infantry Division","Soldiers Grove, Wis.",1945-4-13,06/27/1946,26,http://www.cmohs.org/recipient-detail/2616/anderson-beauford-t.php,"Eagle, Wis.","Okinawa Prefecture, Japan",127,"Anderson, Beauford T.",U.S. Army,Technical Sergeant
67,"Crooksville, OH",12,1,1952,24,10,1929,"Cpl. Rosser, distinguished himself by conspicuous gallantry above and beyond the call of duty. While assaulting heavily fortified enemy hill positions, Company L, 38th Infantry Regiment, was stopped by fierce automatic-weapons, small-arms, artillery, and mortar fire. Cpl. Rosser, a forward observer was with the lead platoon of Company L, when it came under fire from 2 directions. Cpl. Rosser turned his radio over to his assistant and, disregarding the enemy fire, charged the enemy positions armed with only carbine and a grenade. At the first bunker, he silenced its occupants with a burst from his weapon. Gaining the top of the hill, he killed 2 enemy soldiers, and then went down the trench, killing 5 more as he advanced. He then hurled his grenade into a bunker and shot 2 other soldiers as they emerged. Having exhausted his ammunition, he returned through the enemy fire to obtain more ammunition and grenades and charged the hill once more. Calling on others to follow him, he assaulted 2 more enemy bunkers. Although those who attempted to join him became casualties, Cpl. Rosser once again exhausted his ammunition obtained a new supply, and returning to the hilltop a third time hurled grenades into the enemy positions. During this heroic action Cpl. Rosser single-handedly killed at least 13 of the enemy. After exhausting his ammunition he accompanied the withdrawing platoon, and though himself wounded, made several trips across open terrain still under enemy fire to help remove other men injured more seriously than himself. This outstanding soldier's courageous and selfless devotion to duty is worthy of emulation by all men. He has contributed magnificently to the high traditions of the military service.",Heavy Mortar Company,False,"38th Infantry Regiment, 2d Infantry Division","Crooksville, Ohio",1952-1-12,06/27/1952,35,http://www.cmohs.org/recipient-detail/3182/rosser-ronald-e.php," Columbus, Ohio",South Korea,127,"Rosser, Ronald E.",U.S. Army,Corporal
49,,21,12,1944,-1,-1,-1,"He was a radio operator, advancing in the rear of his company as it engaged a well-defended Japanese strong point holding up the progress of the entire battalion. When a rifle platoon supporting a light tank hesitated in its advance, he voluntarily and with utter disregard for personal safety left his comparatively secure position and ran across bullet-whipped terrain to the tank, waving and shouting to the men of the platoon to follow. Carrying his bulky radio and armed only with a pistol, he fearlessly penetrated intense machinegun and rifle fire to the enemy position, where he killed 1 of the enemy in a foxhole and moved on to annihilate the crew of a light machinegun. Heedless of the terrific fire now concentrated on him, he continued to spearhead the assault, killing 2 more of the enemy and exhorting the other men to advance, until he fell mortally wounded. After being evacuated to an aid station, his first thought was still of the American advance. Overcoming great pain he called for the battalion operations officer to report the location of enemy weapons and valuable tactical information he had secured in his heroic charge. The unwavering courage, the unswerving devotion to the task at hand, the aggressive leadership of Pfc. Benjamin were a source of great and lasting inspiration to his comrades and were to a great extent responsible for the success of the battalion's mission.",Company A,True,"306th Infantry, 77th Infantry Division","Carney's Point, N.J.",1944-12-21,06/28/1945,13,http://www.cmohs.org/recipient-detail/2633/benjamin-george-jr.php,"Philadelphia, Pa.","Philippine Islands, Philippines",122,"Benjamin, George, Jr.",U.S. Army,Private First Class
49,,25,6,1944,19,5,1917,"On the morning of 25 June 1944, near Fort du Roule, guarding the approaches to Cherbourg, France, 1st Lt. Ogden's company was pinned down by fire from a German 88-mm. gun and 2 machineguns. Arming himself with an M-1 rifle, a grenade launcher, and a number of rifle and handgrenades, he left his company in position and advanced alone, under fire, up the slope toward the enemy emplacements. Struck on the head and knocked down by a glancing machinegun bullet, 1st Lt. Ogden, in spite of his painful wound and enemy fire from close range, continued up the hill. Reaching a vantage point, he silenced the 88mm. gun with a well-placed rifle grenade and then, with handgrenades, knocked out the 2 machineguns, again being painfully wounded. 1st Lt. Ogden's heroic leadership and indomitable courage in alone silencing these enemy weapons inspired his men to greater effort and cleared the way for the company to continue the advance and reach its objectives.",Company K,True,"314th Infantry, 79th Infantry Division","Fairmont, Ill.",1944-6-25,06/28/1945,45,http://www.cmohs.org/recipient-detail/2922/ogden-carlos-c.php," Borton, Ill.","Boulevard du Fort, 87230 Chalus, France",0,"Ogden, Carlos C.",U.S. Army,First Lieutenant
49,,8,1,1945,-1,-1,-1,"He commanded a 9-man squad with the mission of holding a critical flank position. When overwhelming numbers of the enemy attacked under cover of withering artillery, mortar, and rocket fire, he withdrew his squad into a nearby house, determined to defend it to the last man. The enemy attacked again and again and were repulsed with heavy losses. Supported by direct tank fire, they finally gained entrance, but the intrepid sergeant refused to surrender although 5 of his men were wounded and 1 was killed. He boldly flung a can of flaming oil at the first wave of attackers, dispersing them, and fought doggedly from room to room, closing with the enemy in fierce hand-to-hand encounters. He hurled handgrenade for handgrenade, bayoneted 2 fanatical Germans who rushed a doorway he was defending and fought on with the enemy's weapons when his own ammunition was expended. The savage fight raged for 4 hours, and finally, when only 3 men of the defending squad were left unwounded, the enemy surrendered. Twenty-five prisoners were taken, 11 enemy dead and a great number of wounded were counted. Sgt. Turner's valiant stand will live on as a constant inspiration to his comrades His heroic, inspiring leadership, his determination and courageous devotion to duty exemplify the highest tradition of the military service.",Company B,True,"319th Infantry, 80th Infantry Division","Nescopek, Pa.",1945-1-8,06/28/1945,49,http://www.cmohs.org/recipient-detail/3029/turner-day-g.php,"Berwick, Pa.","Dahl, Luxembourg",5,"Turner, Day G.",U.S. Army,Sergeant
-1,,23,11,1863,24,9,1833,"Although suffering severely from wounds, he led his regiment, inciting the men to greater action by word and example until again severely wounded.",,True,149th New York Infantry,"Syracuse, N.Y.",1863-11-23,07/01/1889,35,http://www.cmohs.org/recipient-detail/60/barnum-henry-a.php," Jamesville, Onondaga County, N.Y.","Chattanooga, TN, USA",-85,"Barnum, Henry A.",U.S. Army,Colonel
-1,,1,7,1898,-1,-1,-1,"Left cover and, under fire, rescued a wounded comrade from drowning.",,True,10th U.S. Cavalry,,1898-7-1,07/03/1902,20,http://www.cmohs.org/recipient-detail/2086/baker-edward-jr-l.php,"Laramie County, Wyo.","Santiago de Cuba, Cuba",-75,"Baker, Edward, Jr. L.",U.S. Army,Sergeant Major
54,,9,9,1943,-1,-1,-1,"For conspicuous gallantry and intrepidity at risk of life above and beyond the call of duty in action involving actual conflict on 9 September 1943 in the vicinity of Salerno, Italy. As a rifleman of an infantry company, Sgt. Logan landed with the first wave of the assault echelon on the beaches of the Gulf of Salerno, and after his company had advanced 800 yards inland and taken positions along the forward bank of an irrigation canal, the enemy began a serious counterattack from positions along a rock wall which ran parallel with the canal about 200 yards further inland. Voluntarily exposing himself to the fire of a machinegun located along the rock wall, which sprayed the ground so close to him that he was splattered with dirt and rock splinters from the impact of the bullets, Sgt. Logan killed the first 3 Germans as they came through a gap in the wall. He then attacked the machinegun. As he dashed across the 200 yards of exposed terrain a withering stream of fire followed his advance. Reaching the wall, he crawled along the base, within easy reach of the enemy crouched along the opposite side, until he reached the gun. Jumping up, he shot the 2 gunners down, hurdled the wall, and seized the gun. Swinging it around, he immediately opened fire on the enemy with the remaining ammunition, raking their flight and inflicting further casualties on them as they fled. After smashing the machinegun over the rocks, Sgt. Logan captured an enemy officer and private who were attempting to sneak away. Later in the morning, Sgt. Logan went after a sniper hidden in a house about 150 yards from the company. Again the intrepid Sgt. ran a gauntlet of fire to reach his objective. Shooting the lock off the door, Sgt. Logan kicked it in and shot the sniper who had just reached the bottom of the stairs. The conspicuous gallantry and intrepidity which characterized Sgt. Logan's exploits proved a constant inspiration to all the men of his company, and aided materially in insuring the success of the beachhead at Salerno.",,True,36th Infantry Division,"Luling, Tex.",1943-9-9,07/05/1944,40,http://www.cmohs.org/recipient-detail/2850/logan-james-m.php,"McNeil, Tex.","Salerno SA, Italy",14,"Logan, James M.",U.S. Army,Sergeant
63,"Willmington, NC",16,12,1944,-1,-1,-1,"For commanding Company C, 30th Infantry, displaying supreme courage and heroic initiative near Kaysersberg, France, on 16 December 1944, while leading a reinforced platoon into enemy territory. Descending into a valley beneath hilltop positions held by our troops, he observed a force of 200 Germans pouring deadly mortar, bazooka, machinegun, and small arms fire into an American battalion occupying the crest of the ridge. The enemy's position in a sunken road, though hidden from the ridge, was open to a flank attack by 1st Lt. Murray's patrol but he hesitated to commit so small a force to battle with the superior and strongly disposed enemy. Crawling out ahead of his troops to a vantage point, he called by radio for artillery fire. His shells bracketed the German force, but when he was about to correct the range his radio went dead. He returned to his patrol, secured grenades and a rifle to launch them and went back to his self-appointed outpost. His first shots disclosed his position; the enemy directed heavy fire against him as he methodically fired his missiles into the narrow defile. Again he returned to his patrol. With an automatic rifle and ammunition, he once more moved to his exposed position. Burst after burst he fired into the enemy, killing 20, wounding many others, and completely disorganizing its ranks, which began to withdraw. He prevented the removal of 3 German mortars by knocking out a truck. By that time a mortar had been brought to his support. 1st Lt. Murray directed fire of this weapon, causing further casualties and confusion in the German ranks. Calling on his patrol to follow, he then moved out toward his original objective, possession of a bridge and construction of a roadblock. He captured 10 Germans in foxholes. An eleventh, while pretending to surrender, threw a grenade which knocked him to the ground, inflicting 8 wounds. Though suffering and bleeding profusely, he refused to return to the rear until he had chosen the spot for the block and had seen his men correctly deployed. By his single-handed attack on an overwhelming force and by his intrepid and heroic fighting, 1st Lt. Murray stopped a counterattack, established an advance position against formidable odds, and provided an inspiring example for the men of his command.",Company C,False,"30th Infantry, 3d Infantry Division","Wilmington, N.C.",1944-12-16,07/05/1945,48,http://www.cmohs.org/recipient-detail/2909/murray-charles-p-jr.php,"Baltimore, Md.","Kaysersberg, France",7,"Murray, Charles P., Jr.",U.S. Army,First Lieutenant
30,,-1,-1,-1,17,9,1933,"1st Lt. Williams distinguished himself by conspicuous gallantry and intrepidity at the risk of his life above and beyond the call of duty while defending the Special Forces Camp against a violent attack by hostile forces that lasted for 14 hours. 1st Lt. Williams was serving as executive officer of a Special Forces Detachment when an estimated Vietcong reinforced regiment struck the camp and threatened to overrun it and the adjacent district headquarters. He awoke personnel, organized them, determined the source of the insurgents' main effort and led the troops to their defensive positions on the south and west walls. Then, after running to the District Headquarters to establish communications, he found that there was no radio operational with which to communicate with his commanding officer in another compound. To reach the other compound, he traveled through darkness but was halted in this effort by a combination of shrapnel in his right leg and the increase of the Vietcong gunfire. Ignoring his wound, he returned to the district headquarters and directed the defense against the first assault. As the insurgents attempted to scale the walls and as some of the Vietnamese defenders began to retreat, he dashed through a barrage of gunfire, succeeded in rallying these defenders, and led them back to their positions. Although wounded in the thigh and left leg during this gallant action, he returned to his position and, upon being told that communications were reestablished and that his commanding officer was seriously wounded, 1st Lt. Williams took charge of actions in both compounds. Then, in an attempt to reach the communications bunker, he sustained wounds in the stomach and right arm from grenade fragments. As the defensive positions on the walls had been held for hours and casualties were mounting, he ordered the consolidation of the American personnel from both compounds to establish a defense in the district building. After radio contact was made with a friendly air controller, he disregarded his wounds and directed the defense from the District building, using descending flares as reference points to adjust air strikes. By his courage, he inspired his team to hold out against the insurgent force that was closing in on them and throwing grenades into the windows of the building. As daylight arrived and the Vietcong continued to besiege the stronghold, firing a machinegun directly south of the district building, he was determined to eliminate this menace that threatened the lives of his men. Taking a 3.5 rocket launcher and a volunteer to load it, he worked his way across open terrain, reached the berm south of the district headquarters, and took aim at the Vietcong machinegun 150 meters away. Although the sight was faulty, he succeeded in hitting the machinegun. While he and the loader were trying to return to the district headquarters, they were both wounded. With a fourth wound, this time in the right arm and leg, and realizing he was unable to carry his wounded comrade back to the district building, 1st Lt. Williams pulled him to a covered position and then made his way back to the district building where he sought the help of others who went out and evacuated the injured soldier. Although seriously wounded and tired, he continued to direct the air strikes closer to the defensive position. As morning turned to afternoon and the Vietcong pressed their effort with direct recoilless rifle fire into the building, he ordered the evacuation of the seriously wounded to the to the safety of the communications bunker. When informed that helicopters would attempt to land as the hostile gunfire had abated, he led his team from the building to the artillery position, making certain of the timely evacuation of the wounded from the communications area, and then on to the pickup point. Despite resurgent Vietcong gunfire, he directed the rapid evacuation of all personnel. Throughout the long battle, he was undaunted by the vicious Vietcong assault and inspired the defenders in decimating the determined insurgents. 1st Lt. Williams' extraordinary heroism, are in the highest traditions of the U.S. Army and reflect great credit upon himself and the Armed Forces of his country.",,True,5th Special Forces Group,"Fort Jackson, S.C.",-1--1--1,07/05/1966,10,http://www.cmohs.org/recipient-detail/3445/williams-charles-q.php," Charleston, S.C.","Honorary Consulate General of the Republic of the Philippines, ph??ng 19, B?nh Th?nh, H? Ch? Minh, Vietnam",106,"Williams, Charles Q.",U.S. Army,First Lieutenant
93,,27,4,1902,-1,-1,-1,"For heroism in rescuing Walenty Wisnieroski, Machinist Second Class, from drowning at Yokohama, Japan, 27 April 1902, while serving on board the U.S.S. Yorktown.",,True,,New York,1902-4-27,07/07/1902,35,http://www.cmohs.org/recipient-detail/2381/quick-joseph.php,New York,"Yokohama, Kanagawa Prefecture, Japan",139,"Quick, Joseph",U.S. Navy,Coxswain
-1,,20,9,1863,15,4,1837,"While acting as a volunteer aide, at a critical moment when the lines were broken, rallied enough fugitives to hold the ground under heavy fire long enough to effect the escape of wagon trains and batteries.",,True,Ordnance Department,"Harrisburg, Pa.",1863-9-20,07/08/1902,34,http://www.cmohs.org/recipient-detail/1077/porter-horace.php," Huntingdon, Pa.","Chickamauga, GA, USA",-85,"Porter, Horace",U.S. Army,Captain
-1,,-1,-1,-1,-1,-1,-1,"Captain Humbert R. Versace distinguished himself by extraordinary heroism during the period of 29 October 1963 to 26 September 1965, while serving as S-2 Advisor, Military Assistance Advisory Group, Detachment 52, Ca Mau, Republic of Vietnam. While accompanying a Civilian Irregular Defense Group patrol engaged in combat operations in Thoi Binh District, An Xuyen Province, Captain Versace and the patrol came under sudden and intense mortar, automatic weapons, and small arms fire from elements of a heavily armed enemy battalion. As the battle raged, Captain Versace, although severely wounded in the knee and back by hostile fire, fought valiantly and continued to engage enemy targets. Weakened by his wounds and fatigued by the fierce firefight, Captain Versace stubbornly resisted capture by the over-powering Viet Cong force with the last full measure of his strength and ammunition. Taken prisoner by the Viet Cong, he exemplified the tenets of the Code of Conduct from the time he entered into Prisoner of War status. Captain Versace assumed command of his fellow American soldiers, scorned the enemy's exhaustive interrogation and indoctrination efforts, and made three unsuccessful attempts to escape, despite his weakened condition which was brought about by his wounds and the extreme privation and hardships he was forced to endure. During his captivity, Captain Versace was segregated in an isolated prisoner of war cage, manacled in irons for prolonged periods of time, and placed on extremely reduced ration. The enemy was unable to break his indomitable will, his faith in God, and his trust in the United States of America. Captain Versace, an American fighting man who epitomized the principles of his country and the Code of Conduct, was executed by the Viet Cong on 26 September 1965. Captain Versace's gallant actions in close contact with an enemy force and unyielding courage and bravery while a prisoner of war are in the highest traditions of the military service and reflect the utmost credit upon himself and the United States Army.",,True,,,-1--1--1,07/08/2002,8,http://www.cmohs.org/recipient-detail/3435/versace-humbert-r.php,,"Ca Mau, Vietnam",105,"Versace, Humbert R.",U.S. Army,Captain
-1,,1,7,1898,-1,-1,-1,Distinguished gallantry in encouraging those near him by his bravery and coolness after being shot through the head and entirely without sight.,,True,U.S. Volunteers,"New York, N.Y.",1898-7-1,07/09/1902,20,http://www.cmohs.org/recipient-detail/2158/mills-albert-l.php,"New York, N.Y.","Santiago de Cuba, Cuba",-75,"Mills, Albert L.",U.S. Army,Captain/Ass. Adjutant General
17,New Hampshire,-1,-1,-1,-1,-1,-1,"Served on board the U.S.S. Crusader and the Keokuk during various actions of those vessels. Carrying out his duties skillfully while on board the U.S.S. Crusader, Q.M. Anderson, on all occasions, set forth the greatest intrepidity and devotion. During the attack on Charleston, while serving on board the U.S.S. Keokuk, Q.M. Anderson was stationed at the wheel when shot penetrated the house and, with the scattering of the iron, used his own body as a shield for his commanding officer.",,True,,,-1--1--1,07/10/1863,32,http://www.cmohs.org/recipient-detail/31/anderson-robert.php,"1841, Ireland","Charleston, SC, USA",-79,"Anderson, Robert",U.S. Navy,Quartermaster
17,,-1,-1,-1,-1,-1,-1,"Served on board the U.S.S. Carondelet at the reduction of Forts Henry and Donelson, 6 and 14 February 1862 and other actions. Carrying out his duties as signal quartermaster and captain of the rifled bow gun, S/Q.M. Arther was conspicuous for valor and devotion, serving most faithfully, effectively and valiantly.",,True,,"Boston, Mass.",-1--1--1,07/10/1863,44,http://www.cmohs.org/recipient-detail/41/arther-matthew.php,"1835, Scotland","Fort Henry, Kingston, Ontario, ON, Canada",-76,"Arther, Matthew",U.S. Navy,Signal Quartermaster
-1,,22,5,1863,-1,-1,-1,"Gallantry in the charge of the ""volunteer storming party.""",Company I,True,30th Ohio Infantry,,1863-5-22,07/10/1894,32,http://www.cmohs.org/recipient-detail/38/archinal-william.php,Germany,"Vicksburg, MS, USA",-90,"Archinal, William",U.S. Army,Corporal
-1,,-1,-1,-1,-1,-1,-1,"For conspicuous gallantry and intrepidity at the risk of his life above and beyond the call of duty while serving as Corpsman with Company C, First Battalion, Seventh Marines against elements of a North Vietnam Aggressor (NVA) battalion in Quang Ngai Province Republic of Vietnam on 28 March 1966. Petty Officer Ingram accompanied the point platoon as it aggressively dispatched an outpost of an NVA battalion. The momentum of the attack rolled off a ridge line down a tree covered slope to a small paddy and a village beyond. Suddenly, the village tree line exploded with an intense hail of automatic rifle fire from approximately 100 North Vietnamese regulars. In mere moments, the platoon ranks were decimated. Oblivious to the danger, Petty Officer Ingram crawled across the bullet spattered terrain to reach a downed Marine. As he administered aid, a bullet went through the palm of his hand. Calls for ""CORPSMAN"" echoed across the ridge. Bleeding, he edged across the fire swept landscape, collecting ammunition from the dead and administering aid to the wounded. Receiving two more wounds before realizing the third wound was life-threatening, he looked for a way off the face of the ridge, but again he heard the call for corpsman and again, he resolutely answered. Though severely wounded three times, he rendered aid to those incapable until he finally reached the right flank of the platoon. While dressing the head wound of another corpsman, he sustained his fourth bullet wound. From sixteen hundred hours until just prior to sunset, Petty Officer Ingram pushed, pulled, cajoled, and doctored his Marines. Enduring the pain from his many wounds and disregarding the probability of his demise, Petty Officer Ingram's intrepid actions saved many lives that day. By his indomitable fighting spirit, daring initiative, and unfaltering dedications to duty, Petty Officer Ingram reflected great credit upon himself and upheld the highest traditions of the United States Naval Service.","Company C, 1st Battalion",False,"7th Marines, 1st Marine Division","Clearwater, FL",-1--1--1,07/10/1998,52,http://www.cmohs.org/recipient-detail/3309/ingram-robert-r.php,,"28 March Road, Friday Bridge, Wisbech, Cambridgeshire PE13 4DA, UK",0,"Ingram, Robert R.",U.S. Navy,Petty Officer
68,,-1,-1,-1,18,2,1933,"Cpl. Crump, a member of Company L, distinguished himself by conspicuous gallantry and outstanding courage above and beyond the call of duty in action against the enemy. During the night a numerically superior hostile force launched an assault against his platoon on Hill 284, overrunning friendly positions and swarming into the sector. Cpl. Crump repeatedly exposed himself to deliver effective fire into the ranks of the assailants, inflicting numerous casualties. Observing 2 enemy soldiers endeavoring to capture a friendly machine gun, he charged and killed both with his bayonet, regaining control of the weapon. Returning to his position, now occupied by 4 of his wounded comrades, he continued his accurate fire into enemy troops surrounding his emplacement. When a hostile soldier hurled a grenade into the position, Cpl. Crump immediately flung himself over the missile, absorbing the blast with his body and saving his comrades from death or serious injury. His aggressive actions had so inspired his comrades that a spirited counterattack drove the enemy from the perimeter. Cpl. Crump's heroic devotion to duty, indomitable fighting spirit, and willingness to sacrifice himself to save his comrades reflect the highest credit upon himself, the infantry and the U.S. Army.",Company L,True,,"Forest City, N.C.",-1--1--1,07/11/1952,38,http://www.cmohs.org/recipient-detail/3101/crump-jerry-k.php," Charlotte, N.C.","Ch'?rw?n-kun, Kangwon, North Korea",126,"Crump, Jerry K.",U.S. Army,"7th Infantry Regiment, 3d Infantry Division"
-1,,22,5,1863,-1,-1,-1,"Gallantry in the charge of the ""volunteer storming party.""",Company F,True,4th West Virginia Infantry,"Jackson County, W. Va.",1863-5-22,07/12/1894,32,http://www.cmohs.org/recipient-detail/64/barringer-william-h.php,,"Vicksburg, MS, USA",-90,"Barringer, William H.",U.S. Army,Private
38,,18,3,1943,25,9,1921,"For conspicuous gallantry and intrepidity above and beyond the call of duty in action with the enemy over Vegesack, Germany, on 18 March 1943. 1st Lt. Mathis, as leading bombardier of his squadron, flying through intense and accurate antiaircraft fire, was just starting his bomb run, upon which the entire squadron depended for accurate bombing, when he was hit by the enemy antiaircraft fire. His right arm was shattered above the elbow, a large wound was torn in his side and abdomen, and he was knocked from his bomb sight to the rear of the bombardier's compartment. Realizing that the success of the mission depended upon him, 1st Lt. Mathis, by sheer determination and willpower, though mortally wounded, dragged himself back to his sights, released his bombs, then died at his post of duty. As the result of this action the airplanes of his bombardment squadron placed their bombs directly upon the assigned target for a perfect attack against the enemy. 1st Lt. Mathis' undaunted bravery has been a great inspiration to the officers and men of his unit.",,True,"359th Bomber Squadron, 303d Bomber Group","San Angelo, Tex.",1943-3-18,07/12/1943,53,http://www.cmohs.org/recipient-detail/2864/mathis-jack-w.php," San Angelo, Tex.","Bremen-Vegesack, Bremen, Germany",8,"Mathis, Jack W.",U.S. Army,First Lieutenant
