Artist,Classification,Continent,Country,Credit Line,Dated,Department,Dimension,Inscription,Medium,Nationality,Provenance,Rights Type,Room,Short Description,Signed,Style,Text,Title,Years Living
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,600-222 BCE,"Chinese, South and Southeast Asian Art","4 15/16 ? 8 1/8 ? 8 5/8 in., 3.3 lb. (12.54 ? 20.64 ? 21.91 cm, 1.5 kg)
7 3/4 ? 5 15/16 in. (19.69 ? 15.08 cm) (object part, mouth-b)
7 1/2 ? 5 11/16 in. (19.05 ? 14.45 cm) (object part, mouth-a)",N/A,Bronze,N/A,N/A,Public Domain,Not on View,"The bowl, in the broad and bulky shape of the Huai style, is supported by four human figures with horned animals' heads. The rigid ring handles have an out-curving lower projection which, with the outer bend of the ring, forms a dragon with a curled-up tail. This dragon has a head like a t'ao-t'ieh. The ring-shaped top of the lid, adorned with a triple-strand plait pattern in openwork, is affixed to the lid with a row of small props. The close affinity of this vessel to one almost exactly similar in the Royal Ontario Museum is interesting in view of the fact that the latter is known to have come from the Kin-ts'un tombs (Ca.450-230 B.C.). Patina green.",N/A,6th-3rd century BCE,N/A,Covered <i>zhou</i> (Ritual Food Vessel),N/A
N/A, Sculpture,Asia,China,Bequest of Alfred F. Pillsbury,960-1279,"Chinese, South and Southeast Asian Art",1 1/4 x 3 1/4 x 5/16 in. (3.18 x 8.26 x 0.79 cm),N/A,Green jade with traces of red pigment,N/A,N/A,Public Domain,Not on View,green jade with traces of red pigment; front of finial shows profile of dragon head forked prong horns and long mane.,N/A,10th-13th century,N/A,Dragon-head Finial,N/A
N/A, Ceremonial Objects,Asia,China,Bequest of Alfred F. Pillsbury,12th-11th century BCE,"Chinese, South and Southeast Asian Art",15 3/4 x 4 5/16 x 1/4 in. (40.01 x 10.95 x 0.64 cm),N/A,Pale greenish-blue nephrite (jade),N/A,N/A,Public Domain,G215,Green jade with light ochre spots. Termed a 'Chang' or ritual jade.,N/A,12th-11th century BCE,"The innately beautiful bluish-green color of this ritual scepter, with its russet inclusions combines with a simplicity and elegance of form to elevate this ancient object to a realm of aesthetic grace that is timeless. Ceremonial weapons and implements represent some of the earliest Chinese jades as the origins of this type of object lies in the Neolithic period. It was largely during the early Bronze Age however, in Shang and Western Zhou, that some utilitarian weapon types evolved into a limited group of particular shapes executed in precious jade that held ritual significance in important political and social ceremonies. Most of the ceremonial jade scepters that have survived were buried in tombs suggesting they also held significance for the spirit in the afterlife. Ancient bronze inscriptions record the use of land and jade as gifts between rulers and dependents. It is possible that the Chang scepters this type may have been part of the insignia used in rites connected with the land.",Chang Scepter,N/A
N/A," Tools, Equipment and Utilitarian Objects",Asia,China,Bequest of Alfred F. Pillsbury,18th-19th century,"Chinese, South and Southeast Asian Art",1 1/4 x 5/8 x 11/16 in. (3.18 x 1.59 x 1.75 cm),N/A,Nephrite (jade) and soapstone,N/A,N/A,Public Domain,Not on View,"Cat, white translucent jade; L.1-1/4 in., W. 5/8 in., H. 11/16 in. (Previously identified as a dog).",N/A,18th-19th century,"Used by literati to impress their personal marks on documents and works of art, seals were among the most important scholar's implements. The literati often carved the legends themselves. Bronze and jade were commonly used for seals before the Y?an dynasty (1280?1368), but these materials proved too hard to be carved by anyone but professionals. In the Ming dynasty, soapstone became the preferred material of the literati. Scholars readily carved the soft material in their personal calligraphic styles. Like literati paintings, seals expressed the taste and personality of their owners. The squared, angular characters and simple, forceful calligraphy in these examples were inspired by Han dynasty (2nd century BCE?2nd century CE) script, which along with bronze inscriptions and other early styles of calligraphy was studied and emulated by the <i>wen ren</i>. The tortoise at the top of each seal often appeared in Han dynasty seals. It symbolized longevity, strength, and endurance, traits associated with the scholar.",Stone Seal,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,12th-11th century BCE,"Chinese, South and Southeast Asian Art","4 9/16 ? 13 3/8 in., 9 lb. (11.59 ? 33.9 cm, 4.1 kg)
8 1/4 in. (20.96 cm) (object part, foot)",N/A,Bronze,N/A,N/A,Public Domain,Not on View,"The Pan of the Yin era do not usually have handles; those of Early Chou usually, but not invariably, do. The division of the two decor belts, neck and foot, is achieved in the former by an unusually realistic bovine head, and in the latter by a thin flange. The decor ground is of spirals of varying size throughout. The bird in the foot belt, of the regular type, displays one odd variation. The long tail is, as usual, cleft in two parts, the lower descending, the upper rising in a long loop. In this instance, however, the shorter part is modified so as to resemble the leg of the bird, giving the impression that the bird has one front and one hind leg. The tuft in the middle, whee the tail goes out from the boky, is a common feature (cf. vessel 50.46.19, Karlgren #33). The winged dragon in the upper belt has a small vertial crest and a big bottle horn with a fingerleaf top that has an eye in the center of the leaf. Patina grey-green in neck and foot belts.",N/A,12th-11th century BCE,N/A,Water basin pan,N/A
N/A, Metalwork,Asia,Persia (Iran),Bequest of Alfred F. Pillsbury,899-400 BCE,"Decorative Arts, Textiles and Sculpture",4 7/8 x 3 5/8 x 7 1/4 in. (12.38 x 9.21 x 18.42 cm),N/A,Bronze,N/A,N/A,Public Domain,Not on View,"bit and cheek plaques; rigid mouthpiece of round section, flattened at each end and rolled into spiral rings to which reins were attached; cheek plaques in form of standing ibexes whose bodies are in profile relief with heads affronted and modeled in the round; on back of plaques are two protruding pins and two loops for fastening split strap of bridle; horn of one ibex broken off and missing; bronze",N/A,9th-4th century BCE,N/A,Bit and Cheek Plaques,N/A
N/A, Adornment,Asia,Persia (Iran),Bequest of Alfred F. Pillsbury,1500-1000 BCE,"Decorative Arts, Textiles and Sculpture",3 1/4 x 2 3/4 in. (8.26 x 6.99 cm),N/A,Bronze,N/A,N/A,Public Domain,Not on View,"bracelet, with crouching lions as finials; band of bracelet of rectangular section, decorated on edges with incised diagonal lines; additional incised decoration on outside of band at junction of finials and mid-point of band; lions somewhat conventionalized",N/A,15th-11th century BCE,N/A,Bracelet  with Crouching Lions,N/A
N/A, Ceramics,Asia,Iran,Bequest of Alfred F. Pillsbury,1200-1299,"Chinese, South and Southeast Asian Art",3 1/2 x 8 in. (8.89 x 20.32 cm),N/A,Stone paste (fritware) with overglaze painted decoration,N/A,N/A,Public Domain,G243,"Bowl, overglaze painted ware; mounted ladies beside pool; polychrome overglaze.",N/A,13th century,"The theme of two horsemen on either side of a tree frequently appears on mina'i ware. It might have alluded to a hunt scene, a luxury enjoyed by the princely classes.",Mina'i ware Bowl,N/A
N/A, Ceramics,Asia,Iran,Bequest of Alfred F. Pillsbury,12th century,"Chinese, South and Southeast Asian Art",3 1/2 x 8 1/2 in. (8.89 x 21.59 cm),N/A,"Minai ware
Earthenware with overglaze polychrome colors",N/A,N/A,Public Domain,G243,"Bowl, polychromed. King seated on a throne with two personages; to left and right of throne two angels; two birds below. Eight figures seated around throne.",N/A,12th century,N/A,Bowl Depicting a Seated King,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,12th-11th century BCE,"Chinese, South and Southeast Asian Art","8 3/4 ? 6 9/16 ? 6 5/16 in., 4 lb. (22.23 ? 16.67 ? 16.03 cm, 1.8 kg)
5 5/8 ? 4 1/8 in. (14.29 ? 10.48 cm) (object part, mouth)",N/A,Bronze,N/A,N/A,Public Domain,Not on View,"The profile of the body is S-shaped with the inward curvature placed close to the rim of the vessel. Dragonized t'ao-t'ieh (winged-dragon type) and rising blades with stylized cicadas decorate the neck belt. The body t'ao-t'ieh, on a ground of squared spirals, displays unusual features horns with the alternate T-shaped and straight scores usually associated with flanges, and a hybrid forehead shield with the upper part hooked and the lower half drawn as the rounded-top shield. Also to be noted is the small vertical dragon beneath the tail of the cleft t'ao-t'ieh under the handle. For a discussion of this element, see Karlgren, Number 11, Plate 14 (50.46.43). The handle, with a bovine head at the top, terminates with curved legs ending in hoofs on the sides. Underneath, in the place for an inscription, is a human figure in flat relief on a spiral ground. Patina grey-green and blue.",N/A,12th-11th century BCE,N/A,<I>Jia<I> (ritual wine vessel),N/A
N/A, Ceramics,Asia,Iran,Bequest of Alfred F. Pillsbury,13th century,"Chinese, South and Southeast Asian Art",3 x 8 in. (7.62 x 20.32 cm),N/A,"Earthenware with molded decor under turquoise glaze, Rayy ware",N/A,N/A,Public Domain,G243,"Bowl, narrow-mouthed type for guarding money. Decoration in low relief under the glaze.",N/A,13th century,N/A,Dakke (Money Bank),N/A
N/A, Ceramics,Asia,Iran,Bequest of Alfred F. Pillsbury,12th-13th century,"Chinese, South and Southeast Asian Art",3 1/2 x 7 1/4 in. (8.89 x 18.42 cm),N/A,"Earthenware with overglaze polychrome colors, Minai ware",N/A,N/A,Public Domain,G243,"Bowl, overglaze painted ware; mounted ladies",N/A,12th-13th century,N/A,Bowl Depicting Ladies on Horseback,N/A
N/A, Ceramics,Asia,Iran,Bequest of Alfred F. Pillsbury,12th-13th century,"Chinese, South and Southeast Asian Art",3 3/4 x 8 3/4 in. (9.53 x 22.23 cm),N/A,"Earthenware with overglaze polychrome colors, Minai ware",N/A,N/A,Public Domain,G243,Bowl. Lady on an elephant. Mounted attendants. Polychrome overglaze. Minai type. Earthenware,N/A,12th-13th century,N/A,Bowl Depicting a Lady Riding an Elephant,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,9th-8th century BCE,"Chinese, South and Southeast Asian Art","6 5/16 ? 11 7/8 ? 5 5/8 in., 4.2 lb. (16 ? 30.2 ? 14.3 cm, 1.9 kg)",Inscription,Bronze,N/A,N/A,Public Domain,Not on View,"The bowl is decorated in flat, band relief two belts with vertical scales below a broad upper belt of S-figures finished at each end with big tufts. These are probably remnants of strongly deformed dragons. At the end of the spout this band terminates in a dragon with a rolled-up nose. The scale bands stop short of this point and two large scales, placed crosswise, fill out the space. The legs are unusual in that those in front have a dragon's head, like that in the neck belt, whereas the hind leg is adorned with a big spiral such as usually emphasizes the hind quarters of an animals. The two legs have thus to be taken together as a whole the front and hind part of one animal. For other examples see Eumorfopoulos, Volume 1, Plate 45, and BMFEA, Volume 8, Plate 45. The rather stiff legs end in feet coarsely drawn like two comma-shaped claws. The handle is finished at the top with an animal's head displaying an unusual and highly decorative feature big horns shaped as two back-to-back birds. Patina green. For comment on the inscription, see Karlgren number 45(50.46.44) For a discussion of this vessel type, see Karlgren number 313 (50.46.104)",N/A,9th-8th century BCE,N/A,Water vessel yi,N/A
N/A, Ceramics,Asia,Iran,Bequest of Alfred F. Pillsbury,12th century,"Chinese, South and Southeast Asian Art",2 1/8 x 4 x 7 in. (5.4 x 10.16 x 17.78 cm),N/A,Earthenware with turquoise-blue glaze over molded decor,N/A,N/A,Public Domain,G243,"Inkstand, turquoise blue glaze. Ornamentation of Cufic inscription. Cover. Earthenware with turquoise blue glaze over molded decor.",N/A,12th century,N/A,Pen Box,N/A
N/A, Ceramics,Asia,Iran,Bequest of Alfred F. Pillsbury,12th century,"Chinese, South and Southeast Asian Art",H.6-1/2 in.,N/A,"Rayy ware
Glazed earthenware",N/A,N/A,Public Domain,Not on View,Drinking Cup in the form of a Human Figure. Ceramic with traces of luster and pigments.,N/A,12th century,N/A,Cup in the Form of a Human Figure,N/A
N/A, Ceramics,Asia,Iran,Bequest of Alfred F. Pillsbury,12th century,"Chinese, South and Southeast Asian Art",6 3/4 x 4 in. (17.15 x 10.16 cm),N/A,"Rayy ware
Glazed earthenware",N/A,N/A,Public Domain,Not on View,Lamp for an oil wick. Painted in polychrome over the glaze; in form of bird with human head; blue on wings and breast. Harpy shape,N/A,12th century,N/A,Lamp in the Form of a Human-Headed Bird,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,12th-11th century BCE,"Chinese, South and Southeast Asian Art","11 3/4 ? 6 5/8 in., 3.3 lb. (29.85 ? 16.83 cm, 1.5 kg)
3 11/16 in. (9.37 cm) (object part, foot)",N/A,Bronze,N/A,N/A,Public Domain,Not on View,"The decor is disposed in the three areas usual in vessels of this class the foot, bulb, and neck. The foot belt, divided into four panels by deeply scored flanges, displays a mask t'ao-tieh with a C-shaped mouthline, hooked forehead shield, small eyebrows, and S-shaped norns. Above is a narrow band with consecutive trunked dragons. The decor ground is of squared spirals throughout. The bulb, also divided into four panels, displays a t'ao-tieh bodied to the extent that some simple lines of a vertical body still remain above the leg. The central line of the face, with no forehead shield, is formed by the flange. The lower zone of the high throat is filled with consecutive snakes, their heads turned EN FACE. Above are slender rising blades, the major part of each filled with a t'ao-t'ieh to be seen from above. Streaked eyebrows appear over buldging eyes, and over these, again, long-drawn-out C-shaped figures forming the horns. Below the eyes are two C-shaped figures, modifications of mouthlines. At the end of the blade, separated from the t'ao-t'ieh by a narrow, empty band, is a V-figure- a corruption of a cicada drawing. Patina grey-green and blue-green with patches of red. Except for a cross-shaped perforation between the foot and the area above, the beaker is in almost every detail exactly similar to the one with a Yin inscription published in Huang, TSUN KU CHAI.",N/A,12th-11th century BCE,"This intriguing vessel was apparently used to pour wine during religious ceremonies. Variations of the <I>taotie</I> mask comprise the main decorative motifs, and are located in the lower sections between the flanges. A typical Shang background pattern of tight spirals called <I>leiwen</I> is also seen throughout the ornamental registers. This piece relates to several other bronzes excavated at Anyang, the site of the last capital of the Shang dynasty (about 1400-1027 BCE.).",Wine vessel gu,N/A
N/A, Ceramics,Asia,Iran,Bequest of Alfred F. Pillsbury,13th century,"Chinese, South and Southeast Asian Art",7 1/2 in. (19.05 cm),N/A,"Sultanabad ware
Glazed earthenware",N/A,N/A,Public Domain,Not on View,"Jar, Black Painted, Blue Glazed",N/A,13th century,N/A,Jar with Inscription,N/A
N/A, Ceramics,Asia,Iran,Bequest of Alfred F. Pillsbury,13th-14th century,"Chinese, South and Southeast Asian Art",8 1/2 x 14 x 1 in. (21.59 x 35.56 x 2.54 cm),Inscription,"Earthenware with relief calligraphy and underglaze painted in turquoise and blue with gold luster overglaze, Kashan ware",N/A,N/A,Public Domain,G243,"Tile, Sultanabad, pottery, raised blue inscription on black and white floral background.",N/A,13th-14th century,"The Kashan ceramic workshops in Iran specialized in manufacturing luster-painted architectural tiles well into the fourteenth century. These tiles bear inscriptions from different verses from the Qur'an, which are translated as follows:

<I>His messenger who... (top) / 
...Do not know.</I> (bottom)

They  were probably part of a mihrab, the sacred wall niche found in every mosque that orients the worshipper toward the holy city of Mecca during prayers. The opulence of the tiles illustrates the special attention given mihrabs in Muslim architecture; as the most important part of the mosque interior, these features had to stand out visually within a vast enclosure - hence, the bright colors and rich luster.",Rectangular Tile,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,12th-11th century BCE,"Chinese, South and Southeast Asian Art","8 1/8 ? 6 3/4 ? 6 3/4 in., 5.1 lb. (20.64 ? 17.15 ? 17.15 cm, 2.3 kg)
6 5/16 ? 6 3/8 in. (16.03 ? 16.19 cm) (object part, mouth)",inscription,Bronze,N/A,N/A,Public Domain,Not on View,"Low, narrow flanges, corresponding to the legs, form the central ridges in t'ao-t'ieh figures on a ground of squared spirals. The t'ao-t'ieh of the belly is the ordinary, bodied type with C-shaped horns, hooked forehead shield, and strongly protruding eyes. It is flanked by vertical gaping dragons. Dragonized t'ao-t'ieh, the halves fromed as winged dragons, appear on a ground of squared spirals in the neck belt. Patina green with patches of red.",N/A,12th-11th century BCE,N/A,Food vessel liding,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,1st-2nd century,"Chinese, South and Southeast Asian Art","7 5/16 ? 7 11/16 ? 7 3/8 in., 4.4 lb. (18.57 ? 19.53 ? 18.73 cm, 2 kg)
7 in. (17.78 cm) (object part, mouth-a)
6 9/16 in. (16.67 cm) (object part, mouth-b)",N/A,Bronze with gold and silver gilt cloud design,N/A,N/A,Public Domain,Not on View,"This covered cylindrical toilet box, supported by three small feet in the form of bears, is gilt with decor patterns executed in incised lines. there are two ring handles suspended from t'ao-t'ieh masks on the vessel and a third ring handle on the lid, which is further adorned by three birds, reduced and highly stylized, in the round. The neck and foot belts bordering the main decor band display the 'triple lozenge' figure common on the Huai style mirrors and immensely popular throughout the Han era. The scene portrayed on the body presents various animals- birds, deer, bears- moving through a field of hills and drifting clouds. the treatment is spirited and free, with nothing in it of the symmetry one de rigeur in the bronze decor. The long, fluid lines are adorned with the 'han curl border' (for comment see BMFEA, Volume 13, pages 97,98). Patina light green at feet and on the lid animals.",N/A,1st-2nd century,N/A,Toilet box lian,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,5th-4th century BCE,"Chinese, South and Southeast Asian Art","4 5/8 ? 1 5/16 ? 1 in., 0.2 lb. (11.75 ? 3.3 ? 2.5 cm, 0.1 kg)",N/A,"Chin-ts?un style
Bronze inlaid with silver",N/A,N/A,Public Domain,Not on View,"The zoomorphic decor, strongly stylized and inlaid with siver, is divided into three fields by a broad, rounded raised band. Finials of this type, oval in cross-section, were designed for the ends of lance hafts. For an extended discussion of these and similar butt caps, see Karlbeck, Selected Objects from Shou shou, BMFEA, Number 27, Stockholm, 1955. Patina reddish-brown with green patches- one side much corroded.",N/A,5th-4th century BCE,N/A,Butt cap for spear haft,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,12th century BCE,"Chinese, South and Southeast Asian Art","16 9/16 ? 5 1/16 ? 1/4 in., 1.3 lb. (42.07 ? 12.86 ? 0.64 cm, 0.6 kg)",N/A,Bronze,N/A,N/A,Public Domain,Not on View,"A flange with alternating straight and T-shaped scores of the type commonly found on early ritual vessels decorates the upper idge of this weapon. Along the blade proper, just below the flange, is a band of head-turning dragons with bottle horns on a ground of squared spirals. This decor is in low relief. Patina green.",N/A,12th century BCE,N/A,Sacrificial knife,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,11th-10th century BCE,"Chinese, South and Southeast Asian Art","6 1/4 ? 3 5/8 ? 1 1/4 in., 0.9 lb. (15.88 ? 9.21 ? 3.18 cm, 0.4 kg)",N/A,Bronze,N/A,N/A,Public Domain,Not on View,"This weapon has a tube, oval in cross section, with a hole into which the shaft was inserted. On the opposite side a short lug protrudes from the tube. Two decorative head-turning dragons, with S-shaped horns and scales on their bodies, extend from the tube on one side and the lug on the other to the points of the crescent-shaped blade. Apart from the t'ao-t'ieh on the tang, and the row of blades with rudimentary cicada filling near the edge of the axe, the decor is rather involved. This decor can best be understood through the aid of a parallel, an axe formerly in the Raphael collection, reproduced in Karlgren #85, figure 74. In this example the composition on the blade can be seen quite clearly. At the bottom there is a coiled snake, the head seen en face. Above is a figure that might be a demon. Nostril and mouth line have coalesced in a large, recumbent C, and from the head three large curling plumes sweep up onto the shaft tube. The body of the creature, starting just behind the end of the mouth line, goes down in an S-bend and ends in two sharp, pointed claws. A comparison with the Pillsbury axe reveals that the same motif is repeated but is less carefully worked out. The C-line of nose and mouth below the eye has much less distinct. Patina green.",N/A,11th-10th century BCE,N/A,Axe with tubular socket,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,4th century BCE,"Chinese, South and Southeast Asian Art","11 3/16 ? 2 1/8 ? 1 5/16 in., 0.7 lb. (28.42 ? 5.4 ? 3.33 cm, 0.3 kg) (a)
1 1/8 ? 1 1/16 in. (2.86 ? 2.7 cm) (object part, opening-a)
10 3/4 ? 1 1/8 in., 0.4 lb. (27.31 ? 2.86 cm, 0.2 kg) (b)
1 in. (2.54 cm) (object part, opening-b)",N/A,Bronze,N/A,N/A,Public Domain,Not on View,"The blade has bevels broad at the base of the socket and narrowing as they approach the point. A broad raised mid-rib runs from a mask on the socket to the point of the blade. A decor of diapers, painted in double black lines, covers the blade. At each point of intersection there is a short, transversal line thick in the middle and thinning out at the ends. The butt cap for this lance is in the form of a slightly tapering tube ending in three sharp points. The cylindrical grip is encircled by a raised ring flanked by two narrow bands in lower relief. Two small holes beneath the ring served for the rivet that transfixed the lance head to the haft. The tube has a hole with cracks radiating from it, toward the pointed end. Patinasoft pale green (lance head), sage green (butt cap).",N/A,4th century BCE,N/A,"Lance Head and Lance Haft Butt Cap, with Diaper Decor",N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,4th century BCE,"Chinese, South and Southeast Asian Art","11 7/8 ? 1 15/16 ? 1 1/8 in., 0.7 lb. (30.16 ? 4.92 ? 2.86 cm, 0.3 kg)
1 9/16 ? 15/16 in. (3.97 ? 2.38 cm) (object part, opening)",N/A,Bronze,N/A,N/A,Public Domain,Not on View,"The bevels of the cutting edge are fairly wide and the central ridge is well pronounced. The surface of the socket forms a polygon, of which three sides- on front and reverse of the socket- continue as sharply pointed angles to the base of the socket. Above, on each side, is a mask turned upside down. Patina soft grey-green",N/A,4th century BCE,N/A,Lance Head,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,11th century BCE,"Chinese, South and Southeast Asian Art","6 7/8 ? 12 3/8 ? 9 3/16 in., 6.6 lb. (17.5 ? 31.4 ? 23.3 cm, 3 kg)
7 3/8 in. (18.7 cm) (object part, foot)",N/A,Bronze,N/A,N/A,Public Domain,Not on View,"This vessel, the disposition of its decor on a bare ground, the panels and the system of flanges, free animal's heads, and handles that delimit them, are the same as in the Kuei 50.46.19, Karlgren pl.49. The beaked dragons in neck and foot belts have the unusual feature of an additional plume which hangs down from the curled-up tail. The handles are topped with rams' heads and terminate at the bottom with a C-hook reminiscent of the bird's tail on vessels 49 and 52. Most interesting feature of the vessel is the decor on the bottom surface. It is a coiled dragon, in threadlike relief, with a rolled-up nose and a body adorned with a row of big scales. A foot with claws and fetlock is seen on the inside curve. The outer edge of the body has tufts which in pairs form C-figures. The space behind the tail has been filled out with a simple figure with is really the rudiment of a dragon body. Patina grey-green.",N/A,11th century BCE,N/A,<I>Gui<I>(Ritual Food Vessel),N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,late 5th-4th century BCE,"Chinese, South and Southeast Asian Art","7 9/16 ? 10 3/4 ? 9 3/8 in., 11 lb. (19.21 ? 27.31 ? 23.81 cm, 5 kg)
7 1/8 in. (18.1 cm) (object part, mouth-a)
8 7/16 in. (21.43 cm) (object part, mouth-b)",N/A,"Chin-ts?un style
Bronze",N/A,N/A,Public Domain,Not on View,"Both bowl and cover of this squat Ting are richly decorated with broad horizontal belts of various patterns broad bands of interlaced volutes and angles, granulation and striation, as well as T'ao-t'ieh masks placed upside down. The sides of the bent handles are incised with volutes, the face of the handles with volutes and angles. The knees of the short, thick legs are adorned with t'ao-t'ieh-like masks. Three upright disks with flat, truncated projections at the top are affixed to the lid, which has a central medallion with a border of volutes and angles framing a wide band of Huai heart-shaped blades. The low, rounded bottom of the bowl suggests Kin-ts'un as the possible provenance of this vessel. Patina grayed green with areas of sharp green.",N/A,5th-4th century BCE,N/A,Covered Ting (Ritual Food Vessel),N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,12th-11th century BCE,"Chinese, South and Southeast Asian Art","11 1/16 ? 3 7/16 ? 1/8 in., 0.4 lb. (28.1 ? 8.73 ? 0.32 cm, 0.2 kg)",N/A,Bronze,N/A,N/A,Public Domain,Not on View,"This weapon displays the assymetrically placed tang and the strongly beaked, crested head of a bird that was a ubiquitous motif in the bronze art of Yin-time. The details of the bird's head are in rather heavy thread relief. This piece is similar to Karlgren Number 81, plate 99, but is of bronze throughout. Patina green",N/A,12th-11th century BCE,N/A,Ceremonial ge dagger,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,12th-11th century BCE,"Chinese, South and Southeast Asian Art","4 15/16 ? 17 5/16 ? 1/2 in., 2.4 lb. (12.5 ? 44 ? 1.2 cm, 1.1 kg)",N/A,Bronze,N/A,N/A,Public Domain,Not on View,"The tang still retains the shape derived from the animal's head that appeared on early profane knivers in the An-yang area. The original meaning of the profane knife was lost when it became a ritual dagger-axe and the crested bird took place of the animal's head. In this example tyhe space has been filled with a dragon, here almost entirely dissolved, with the head turned toward the blade. The eye and curled tail are still discernible. A t'ao-t'iehmask, alos strongly dissolved, appears just under the lugs. A C-shaped horn can be seen in the upper right corner. A band of spiral decor runs from the base of the mask to the point of the blade. Patina green",N/A,12th-11th century BCE,N/A,Ceremonial <I>ge<I> dagger,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,5th-4th century BCE,"Chinese, South and Southeast Asian Art","5 9/16 ? 1 1/8 in., 0.4 lb. (14.13 ? 2.86 cm, 0.2 kg)
15/16 in. (2.38 cm) (object part, open end)",N/A,Bronze with inlaid silver,N/A,N/A,Public Domain,Not on View,"The cylindrical tube with rounded bottom is cirular in cross section. A rounded band near the open end divides it into three areas of decor, the upper and lower filled with stylized birds in broad bands of silver inlay and silver threads. Patina reddish-brown. Bronze with silver inlay.",N/A,5th-4th century BCE,N/A,Finial for the end of a dagger-axe,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,11th-10th century BCE,"Chinese, South and Southeast Asian Art",6 1/8 ? 1 1/2 in. (15.5 ? 3.8 cm),N/A,Bronze,N/A,N/A,Public Domain,Not on View,"The purpose served by this implement is unknown, but it is possible that it was used for stirring wine. A highly complicated combination of animal motifs occurs in openwork on the handle. This handle, in its entirety, forms a beaked head with the rod serving as the body. As it approaches the handle, the rod displays a leg with a tuft and claw which rises to touch the beak of the bird. The handle itself divides into one bird whose crest supports the belly of a dragon. The dragon turns its head to the left, showing the teeth in its open mouth. For clarification of this involved composition, see Katrlgren Number 76, figures 70,71, 72. This composition occurs frequently in dagger axes, e.g., Karlgren plate 99 (50.46.15 and 50.46.67). Patina green",N/A,11th-10th century BCE,N/A,"Implement, probably for stirring wine",N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,5th century BCE,"Chinese, South and Southeast Asian Art","6 ? 7 3/16 ? 6 1/4 in., 4.4 lb. (15.2 ? 18.26 ? 15.9 cm, 2 kg)
4 7/8 in. (12.38 cm) (object part, mouth-a)
5 11/16 in. (14.45 cm) (object part, mouth-b)",N/A,Bronze with inlaid silver decor,N/A,N/A,Public Domain,Not on View,"Typical features of the advanced Huai style are displayed in this vessel; one of the foremost treasures of Chinese bronze art. The bowl and d lid form a spherical shape. The slight broadening of the body, together with the short, bulbous legs that barely raise it from the ground, give it an amusingly pompous air. The bent ears are big and heavy, contrasting strongly with the slender animals resting on the lid, their heads turned outward and their legs folded under in the style common in Middle Chou and Huai style bronzes. The decor is effected through silver inlay in a variety of patterns large heart-shaped figures on the lower body; geometricized derivatives of crossing dragons in the neck belt; and designs of bird origin on the sides of the handles. The heart shape appears again on the lid in every second angle of the hexagonal motif. Outside of he angles is a motif probably derived from antithetical pairs of bird dragons. These figures are flanked by large, sinuous dragons. An interesting and historically significant feature is the pear-shaped motif on the bodies of the recumbent animals. they reveal the influence of Ordos art (Northern animal style). See BMFEA, Volume 9, Page 104, for a detailed description of the technique for this Ting. Patina dark, brownish-red with green patches.",N/A,5th century BCE,N/A,Food vessel <i>ding</i>,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,11th century BCE,"Chinese, South and Southeast Asian Art","8 9/16 ? 6 5/8 ? 5 1/4 in., 6.8 lb. (21.7 ? 16.9 ? 13.4 cm, 3.1 kg)",Inscription,Bronze,N/A,N/A,Public Domain,Not on View,"The principle surface displays a rectangular field of interlocked T's on a ground of squared spirals framed on three sides by rows of spikes. Scored flanges at the four corners of the vessel are supplemented in the upper belt by additional flanges which thus divide it into eight panels. Antithetical, long-tailed birds flank the short flanges forming the central ridge of a rudimentary t'ao-t'ieh mask. Hanging blades appear on the cylindrical legs, and disfigured dragons in flat relief on the outer surface of the upright handles. Patina green",N/A,11th century BCE,"All the linear patterns on this small sacrificial food vessel have been filled in with a black carbonaceous substance, to give added import to the graphic decor. Though not widespread, this technique can be found in other late Shang and early Western Zhou bronzes.",Food vessel fangding,N/A
